Temp,Humidity,Fertility,Score
33.5,89.0,22.8,70.1
13.0,32.3,46.9,69.9
16.2,17.9,65.4,79.9
15.3,47.7,11.9,79.8
11.3,42.9,59.2,79.9
25.4,50.8,82.2,100
17.1,14.4,68.3,79.9
31.4,15.7,22.4,69.9
16.2,37.0,3.6,69.8
33.3,40.4,67.9,90.1
20.2,83.6,53.8,80.1
29.2,57.5,33.4,90.0
17.1,75.7,72.5,80.1
34.0,51.3,0.4,79.9
29.7,26.4,71.9,90.0
17.3,71.1,9.7,69.9
24.5,37.2,98.4,90.1
16.9,44.4,97.0,90.1
23.4,53.3,3.9,89.9
29.1,87.6,70.0,90.2
40.8,27.4,22.3,70.0
13.6,41.3,59.3,79.9
28.5,76.7,17.8,80.0
17.0,18.0,60.6,79.9
22.8,80.3,55.1,80.1
33.8,51.5,55.3,80.1
17.0,44.2,81.9,90.0
37.4,58.5,7.5,80.0
26.5,58.5,9.1,89.9
14.3,66.6,16.8,79.9
42.1,37.2,4.9,70.0
39.0,91.4,87.8,80.3
14.4,92.3,91.6,80.2
30.4,54.4,91.5,90.2
21.8,55.0,7.4,89.9
16.8,84.3,83.0,80.1
24.7,18.5,44.5,79.9
33.0,41.2,20.2,80.0
29.5,41.8,80.3,100
14.7,58.5,96.7,90.1
44.6,95.2,27.9,70.2
17.7,74.4,79.6,80.1
12.3,20.2,25.0,69.8
26.2,96.4,83.7,90.2
24.1,56.2,49.5,90.0
11.6,90.9,91.1,80.2
13.2,43.0,33.0,79.9
26.9,90.7,97.2,90.3
34.6,43.3,55.5,80.1
19.8,30.5,49.5,69.9
40.9,68.7,59.4,80.2
17.7,55.4,92.7,90.1
40.9,53.4,34.9,80.1
33.5,17.3,95.8,80.1
24.0,18.6,53.8,79.9
40.7,94.7,92.2,80.3
42.5,28.0,68.3,80.1
37.3,58.5,19.3,80.0
22.1,17.9,35.2,79.9
43.6,92.7,27.3,70.2
13.3,48.8,72.2,90.0
41.0,11.0,97.3,80.1
26.5,77.3,20.1,80.0
42.3,91.2,81.0,80.3
13.3,65.2,46.8,80.0
36.8,76.0,72.5,80.2
40.8,28.2,61.1,80.1
32.1,17.5,86.8,80.1
32.7,35.4,70.3,80.1
42.0,14.7,29.7,70.0
20.7,52.7,50.3,90.0
30.1,43.3,32.3,80.0
29.0,10.0,11.4,79.8
43.4,89.7,47.8,70.2
12.0,86.9,21.2,69.9
16.6,87.3,41.1,70.0
21.8,32.9,16.3,79.8
34.9,13.5,72.3,80.0
44.8,30.5,50.9,70.1
11.2,85.5,68.6,80.1
39.6,47.2,32.3,80.1
31.7,71.7,64.2,80.2
13.9,23.3,49.4,69.9
32.5,86.5,37.7,70.1
15.8,68.8,52.0,80.0
33.0,45.1,3.0,79.9
13.1,82.2,15.4,69.9
26.2,42.3,20.3,89.9
32.1,33.0,59.3,70.0
33.1,80.4,36.3,70.1
16.8,11.6,97.5,80.0
20.2,67.1,5.4,89.9
10.6,36.7,55.3,69.9
41.5,33.2,51.8,70.1
31.3,96.6,18.5,70.1
24.9,71.4,14.6,80.0
20.9,72.5,20.9,80.0
11.2,36.8,67.3,79.9
21.2,86.9,44.3,80.1
35.7,77.2,14.0,70.1
27.4,40.0,75.3,100
28.3,83.5,75.1,90.2
18.9,45.2,50.2,80.0
17.7,56.0,25.1,79.9
43.5,22.0,9.8,69.9
42.6,88.1,11.2,70.1
25.7,58.6,91.1,100
22.0,67.2,2.4,89.9
35.2,63.1,37.9,80.1
31.9,81.1,70.8,80.2
33.2,57.2,50.0,80.1
40.6,78.9,11.0,70.1
13.1,12.7,16.4,69.7
44.5,80.4,30.0,70.2
38.9,19.1,99.2,80.2
10.6,10.2,96.7,79.9
22.4,51.7,95.5,100
34.1,13.6,24.8,69.9
22.6,82.8,59.6,80.1
36.8,96.4,3.6,70.1
37.5,27.3,85.7,80.1
39.7,34.3,52.5,70.1
23.3,27.6,14.3,79.8
38.2,77.2,75.5,80.2
42.0,35.9,49.5,70.1
42.6,45.3,76.7,90.2
28.7,83.2,42.9,80.1
18.2,57.9,48.0,80.0
18.8,49.4,92.7,90.1
22.2,28.7,13.6,79.8
43.8,42.3,10.5,80.0
18.3,80.7,60.2,80.1
21.2,57.7,92.8,100
35.3,14.1,42.1,70.0
32.7,60.6,83.8,90.2
26.7,73.2,45.0,80.1
42.7,95.4,19.8,70.2
30.0,84.0,66.6,90.2
25.9,39.5,69.5,90.0
42.5,50.7,36.0,80.1
14.1,76.2,73.7,80.1
32.4,36.9,24.5,70.0
11.7,59.2,35.8,79.9
18.6,89.9,6.8,70.0
35.3,19.3,64.8,80.0
25.5,77.8,93.3,90.2
17.0,35.4,6.2,69.8
39.9,88.9,9.5,70.1
34.3,38.2,78.4,80.1
36.5,75.5,86.2,80.3
44.3,99.1,81.0,80.3
38.7,72.8,61.5,80.2
19.5,48.9,90.1,90.1
20.0,13.8,35.0,79.8
22.7,52.1,88.9,100
29.2,97.4,73.0,90.2
26.8,55.6,87.1,100
33.4,44.6,71.8,90.1
18.0,92.9,94.7,80.2
23.0,59.7,6.3,89.9
22.4,53.4,34.6,90.0
35.9,47.0,26.4,80.0
33.0,84.2,81.5,80.2
14.7,33.8,41.6,69.9
24.7,68.2,66.4,100
40.6,57.1,23.3,80.1
30.3,25.5,54.6,70.0
38.4,89.9,74.7,80.3
31.8,72.2,9.6,70.0
13.5,30.6,94.1,80.0
36.0,98.8,90.2,80.3
40.9,15.4,84.7,80.1
35.3,26.1,7.0,69.9
